sales_account,product,category,status,normalized_sales_account,normalized_product
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 66000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 66000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 50,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 50
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 150,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 150
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 250,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 250
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 350,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 350
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 450,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 450
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 550,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 550
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 650,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 650
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 750,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 750
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 850,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 850
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 950,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 950
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 1900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 2900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 3700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 4900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 5600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 6000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 6000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 6500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 6500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 7000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 7000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 7500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 7500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 8000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 8000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 8500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 8500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 10000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 10000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 11000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 11000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 12000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 12000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 14000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 14000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 16000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 16000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 17000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 17000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 17500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 17500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 20000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 20000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 25000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 25000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 38500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 38500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 45000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 45000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 49000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 49000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 66000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES LOOSE JOS 66000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 50,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 50
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 100
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 150,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 150
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 200
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 250,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 250
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 300
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 350,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 350
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 400
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 450,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 450
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 550,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 550
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 600
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 650,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 650
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 700
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 750,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 750
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 800
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 850,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 850
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 900
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 950,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 950
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1100
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1200
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1300
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1400
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1600
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1700
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1800
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 1900
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2100
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2200
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2300
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2400
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2600
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2700
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2800
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 2900
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3100
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3200
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3300
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3400
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3600
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 3700
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4200
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4400
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4800
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 4900
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 5600
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 6000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 6000
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 6500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 6500
JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 7000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,SEMI PRECIOUS JSP 7000
